Manufacturer,Automobile,Production,Sales,Sales_clean,Production_years
Toyota,Toyota Ipsum,1995–2009,"223,644 to 2000 at Motomachi plant (1996-2000), Over 151,000 in two generations to at Tahara plant (2000-2004).[471]",223644.0,15.0
Toyota,Toyota Land Cruiser,1951–present,"Over 5,000,000 in five generations to 2009.[474][475]",5000000.0,76.0
Toyota,Toyota Mirai,2015–present,"2,840 units by mid-February 2017.in Japan, the United States, Europe and United Arab Emirates.[476]",2840.0,12.0
Toyota,Toyota Prius,1997–present,"The Prius family nameplate has sold over 6 million units through January 2017.[477] The Prius liftback model alone has sold 5 million units in four generations through September 2022.[478] As of January 2017, the Toyota Aqua/Prius c sales totaled 1,380,100 units, and the Prius v sales totaled 671,200 units.[477] Both generations of the Toyota Prius Plug-in Hybrid variant have sold 209,000 units worldwide through December 2019.[106]",1380100.0,30.0
Toyota,Toyota RAV4,1994–present,"535,205 to 2000 at Motomachi plant.[479]",535205.0,33.0
Toyota,Toyota Soarer/Lexus SC,1991-1997,"139,020 Z30 models until production was transferred to Kanto Auto Works.[479]",139020.0,7.0
Toyota,Toyota Sports 800,1965–69,"3,131 a single generation.[480]",3131.0,5.0
Toyota,Toyota Stout/Toyopet RK,1954–1989,"Over 51,000 between 1979 and 1983 at Tahara plant.[471]",51000.0,36.0
Toyota,Toyota Supra,1986–2002,"180,000 A70 units from 1986 to 1992 390,208 A80 units from 1993 to 1997 .[479][481]",180000.0,17.0
Trabant,Trabant,1957–91,"Over 3,000,000 built by VEB Sachsenring in Zwickau, Saxony until the reunification of Germany led to the closure of the factory.[482]",3000000.0,35.0
Vauxhall,Vauxhall Viva,1963–1979,"1,501,353 in three generations.[483][484][485]",1501353.0,17.0
Vector,Vector W8,1989–1993,"17 delivered to customers before the company underwent a management takeover and changes were made to the car, thus becoming the M12.[486]",17.0,5.0
Vector,Vector M12,1995–1999,18 produced in total before the company ceased to exist.[486],18.0,5.0
Volkswagen,Volkswagen Beetle,1938–2003,"21,529,464; the bestselling single design in history, and the first car to reach twenty million sales.[487]",21529464.0,66.0
Volkswagen,Volkswagen Gol,1980–2023,"Brazil's bestselling car for 27 consecutive years; over 8,000,000 in three generations.[488]",8000000.0,44.0
Volkswagen,Volkswagen Golf,1974–present,"Became Volkswagen's bestseller in 2002; 30,000,000 by mid June 2013 in six generations.[489]",30000000.0,53.0
Volkswagen,Volkswagen Jetta,1980–present,"Sedan version of the Volkswagen Golf; over 6,600,000 in five generations up to August 2005.[490]",6600000.0,47.0
Volkswagen,Volkswagen Passat,1973–present,"Over 15,000,000 in six generations.[491]",15000000.0,54.0
Volkswagen,Volkswagen Polo,1975–present,"Over 14,000,000 in six generations.[492]",14000000.0,52.0
Volvo,Volvo PV444/544,1944–1965,"444,000 in a single generation.[493]",444000.0,22.0
Volvo,Volvo Duett,1949–1969,"101,492 in a single generation.[493]",101492.0,21.0
Volvo,Volvo Amazon,1956–1970,"655,241 in a single generation.[493]",655241.0,15.0
Volvo,Volvo P1800,1961–1973,"47,855.[493]",47855.0,13.0
Volvo,Volvo 140,1966–1974,"1,252,371 in a single generation.[493]",1252371.0,9.0
Volvo,Volvo 164,1968–1975,"144,179 in a single generation.[493]",144179.0,8.0
Volvo,Volvo 200 series,1974–1993,"2,862,573 in a single generation; the bestselling car built in Sweden.[493]",2862573.0,20.0
Volvo,Volvo 300 series,1976–1991,"1,086,405 in a single generation.[493]",1086405.0,16.0
Volvo,Volvo 700 series,1982–1992,"1,239,222 in a single generation.[493]",1239222.0,11.0
Volvo,Volvo 850,1991–1996,"716,903 in a single generation.[493]",716903.0,6.0
Volvo,Volvo S40/V40,1995–2004,"1,000,034 in a single generation.[493]",1000034.0,10.0
Volvo,Volvo V70/XC70,1996–2016,"1,381,488 in three generations.",1381488.0,21.0
Willys,Willys 77,1933–36,"Willys' best selling nameplate; approximately 68,000 sold in one generation.[494]",68000.0,4.0
Yugo,Yugo,1977-2008,"794,428 produced, with 141,651 exported to the United States from 1985 to 1992.",794428.0,32.0
ZAZ,ZAZ 965 Zaporozhets,1960–69,322 106 built at ZAZ in the Ukrainian SSR.[495],322.0,10.0
Zastava,Zastava Skala,1971-2008,"1,273,532 built at Zastava Auto in Serbia.",1273532.0,38.0
